Cost,Endogeneity,day,Approximation,RMSE,MAPE,R2
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Sat,x1,15.81626245726787,1.4351651961881964,0.9644436399141776
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Sat,x1^2,6.714247208542526,0.5924909228890185,0.9935922697003882
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Sat,x1^3,4.788367518482183,0.3664733829406268,0.9967409987894095
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Sat,x1x2,6.622959929909436,0.5976388414153435,0.9937653249293246
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Sun,x1,17.019258242317303,1.5342522305668218,0.952050240648461
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Sun,x1^2,5.325295636128259,0.4467326487720973,0.9953054645672399
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Sun,x1^3,4.5635580865013585,0.37428701255878394,0.9965524359677748
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Sun,x1x2,4.930209464721776,0.44619991899857575,0.9959762043403472
"[10, 1, 20, 20]","[1, 0.5, 0.0, 0.0]",Mon,x1,18.255418844507947,2.4463819181162054,0.9156489171178157
"[10, 1, 20, 20]","[1, 0.5, 0.0, 0.0]",Mon,x1^2,7.413101062797931,0.9340315129422004,0.9860906479045695
"[10, 1, 20, 20]","[1, 0.5, 0.0, 0.0]",Mon,x1^3,6.8422122091266,0.8235893321924941,0.9881504969208699
"[10, 1, 20, 20]","[1, 0.5, 0.0, 0.0]",Mon,x1x2,4.343331342034639,0.5694887658291544,0.9952252242141842
